N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"82,800","2,000",+2.48%,100,"4,942,980","5,969,783",53.73,"29,341,312",19.88,9.99,
2,SK하이닉스,"129,000","3,000",+2.38%,"5,000","939,123","728,002",49.26,"3,322,969",18.42,9.53,
3,삼성전자우,"74,100","1,300",+1.79%,100,"609,759","822,887",76.41,"1,675,544",17.79,N/A,
4,NAVER,"362,000","1,000",-0.28%,100,"594,633","164,263",56.56,"291,108",3.69,15.22,
5,LG화학,"812,000","5,000",+0.62%,"5,000","573,210","70,592",45.47,"259,659",35.35,2.93,
6,카카오,"126,500",500,-0.39%,100,"561,479","443,857",33.34,"1,717,349",184.13,2.70,
7,삼성바이오로직스,"824,000","6,000",+0.73%,"2,500","545,200","66,165",10.06,"86,773",205.49,N/A,
8,현대차,"238,500",500,+0.21%,"5,000","509,599","213,668",29.93,"1,030,208",28.86,2.04,
9,삼성SDI,"620,000","9,000",+1.47%,"5,000","426,340","68,765",42.32,"260,218",60.73,4.54,
10,셀트리온,"266,500",0,0.00%,"1,000","367,548","137,917",20.65,"504,893",61.14,16.68,
11,기아,"87,000",700,+0.81%,"5,000","352,666","405,363",33.01,"2,938,304",15.63,5.05,
12,POSCO,"346,500","6,500",-1.84%,"5,000","302,102","87,187",54.29,"586,921",13.54,3.61,
13,삼성물산,"142,000",500,+0.35%,100,"265,380","186,887",14.83,"689,543",16.91,3.81,
14,현대모비스,"279,000","1,000",-0.36%,"5,000","264,473","94,793",36.72,"452,964",14.89,4.66,
15,LG전자,"154,500","3,000",+1.98%,"5,000","252,836","163,648",30.54,"1,151,555",14.39,13.23,
16,SK이노베이션,"272,500","5,500",+2.06%,"5,000","251,969","92,466",22.83,"546,348",-25.77,-13.58,
17,KB금융,"58,300",600,-1.02%,"5,000","242,416","415,808",69.06,"1,185,296",6.07,8.53,
18,LG생활건강,"1,521,000","7,000",-0.46%,"5,000","237,553","15,618",45.40,"31,332",32.79,17.92,
19,SK텔레콤,"328,500","1,500",-0.45%,500,"236,718","72,060",45.51,"253,040",15.13,6.44,
20,신한지주,"42,600",250,-0.58%,"5,000","220,071","516,600",60.83,"1,088,390",5.98,8.20,
21,SK,"272,000","1,500",+0.55%,200,"191,380","70,360",20.49,"192,509",31.68,1.11,
22,엔씨소프트,"851,000","3,000",-0.35%,500,"186,829","21,954",52.05,"48,327",39.51,20.83,
23,삼성생명,"84,600","1,300",-1.51%,500,"169,200","200,000",13.27,"367,967",7.97,3.53,
24,한국전력,"25,800",150,+0.58%,"5,000","165,627","641,964",16.06,"3,434,009",8.06,2.91,
25,아모레퍼시픽,"280,000","5,000",-1.75%,500,"163,684","58,458",33.75,"212,497",195.94,0.78,
26,HMM,"47,350",100,+0.21%,"5,000","163,543","345,392",12.86,"6,892,630",44.88,8.93,
27,LG,"102,000","1,500",+1.49%,"5,000","160,447","157,301",33.46,"334,116",9.36,7.50,
28,삼성에스디에스,"185,500",0,0.00%,500,"143,536","77,378",11.62,"123,118",22.81,6.71,
29,하나금융지주,"47,350",250,+0.53%,"5,000","142,165","300,242",68.74,"1,249,383",5.05,8.96,
30,삼성전기,"180,000","5,500",+3.15%,"5,000","134,449","74,694",31.13,"944,425",19.81,10.92,
31,넷마블,"138,500","1,000",-0.72%,100,"119,046","85,954",23.30,"142,683",37.68,6.35,
32,SK바이오사이언스,"155,500","7,500",+5.07%,500,"118,958","76,500",3.32,"540,495",120.82,13.25,
33,S-Oil,"103,500","1,000",+0.98%,"2,500","116,523","112,583",76.82,"639,955",28.12,-13.07,
34,대한항공,"33,500",150,-0.45%,"5,000","116,520","347,821",11.41,"4,791,285",14.32,-7.22,
35,KT&G,"83,800","1,200",-1.41%,"5,000","115,051","137,292",39.16,"695,208",9.99,13.22,
36,포스코케미칼,"145,000","1,500",+1.05%,500,"112,322","77,463",7.69,"282,279",174.28,2.96,
37,SK아이이테크놀로지,"149,500",0,0.00%,"1,000","106,590","71,298",5.57,"290,228",N/A,11.00,
38,한국조선해양,"145,500","4,000",-2.68%,"5,000","102,975","70,773",18.15,"373,899",-11.14,-7.42,
39,삼성화재,"212,000","2,500",-1.17%,500,"100,435","47,375",47.66,"120,796",10.57,4.96,
40,롯데케미칼,"282,000","3,000",+1.08%,"5,000","96,657","34,275",25.99,"181,804",13.02,1.22,
41,두산중공업,"22,750",700,+3.17%,"5,000","96,115","422,482",7.55,"26,425,024",-12.78,-37.20,
42,하이브,"269,500","6,000",+2.28%,500,"96,006","35,624",10.84,"404,538",95.87,12.52,
43,한온시스템,"17,150",150,+0.88%,100,"91,547","533,800",19.19,"1,000,756",67.79,5.09,
44,SK바이오팜,"113,000",500,+0.44%,500,"88,494","78,313",7.41,"218,697",-164.01,-135.18,
45,KT,"33,700",50,+0.15%,"5,000","87,995","261,112",43.80,"1,030,062",11.70,4.76,
46,LG디스플레이,"23,950",150,-0.62%,"5,000","85,697","357,816",21.12,"2,580,836",25.37,-0.79,
47,한화솔루션,"44,750",250,-0.56%,"5,000","85,597","191,278",16.64,"1,098,407",12.00,5.30,
48,고려아연,"441,000","4,500",-1.01%,"5,000","83,217","18,870",21.93,"54,455",12.91,8.37,
49,우리금융지주,"11,350",100,+0.89%,"5,000","81,977","722,268",26.40,"2,266,793",5.63,5.87,
50,기업은행,"10,800",0,0.00%,"5,000","80,384","744,301",12.92,"2,036,291",5.29,6.44,
51,현대글로비스,"193,500","2,000",+1.04%,500,"72,562","37,500",34.26,"115,703",12.61,12.45,
52,금호석유,"236,000",500,+0.21%,"5,000","71,904","30,468",23.85,"234,088",8.49,20.18,
53,CJ제일제당,"473,500","4,000",-0.84%,"5,000","71,282","15,054",25.23,"46,609",19.05,13.50,
54,현대제철,"52,600","1,400",-2.59%,"5,000","70,192","133,446",20.29,"1,326,641",-67.01,-2.59,
55,LG유플러스,"15,750",100,+0.64%,"5,000","68,766","436,611",32.69,"2,570,134",13.27,6.46,
56,아모레G,"78,300","1,300",-1.63%,500,"64,565","82,458",18.40,"246,561",153.53,0.31,
57,한국타이어앤테크놀로지,"51,500","1,000",+1.98%,500,"63,796","123,875",41.77,"320,561",14.19,5.12,
58,미래에셋증권,"10,000",60,+0.60%,"5,000","63,532","635,316",14.69,"1,361,184",7.97,8.94,
59,현대건설,"56,300","1,100",-1.92%,"5,000","62,693","111,356",21.34,"1,437,210",50.90,1.84,
60,강원랜드,"29,100",300,-1.02%,500,"62,257","213,940",20.30,"835,445",-38.75,-7.92,
61,한국금융지주,"108,500","2,500",+2.36%,"5,000","60,463","55,726",32.97,"425,444",4.85,16.27,
62,현대중공업지주,"76,400",300,-0.39%,"1,000","60,351","78,993",17.54,"351,667",-26.69,-8.12,
63,코웨이,"80,500","2,100",-2.54%,500,"59,409","73,800",58.59,"344,002",13.85,31.51,
64,두산밥캣,"52,600","2,200",-4.01%,500,"52,731","100,249",25.25,"450,995",16.01,6.15,
65,KODEX 200,"43,370",400,+0.93%,0,"52,629","121,350",6.69,"4,009,020",N/A,N/A,
66,SKC,"134,000",500,+0.37%,"5,000","50,744","37,868",13.15,"151,393","-2,126.98",2.21,
67,LG이노텍,"210,000","7,500",+3.70%,"5,000","49,701","23,667",29.77,"273,441",12.21,10.20,
